timestep,Demand,Demand AC,Demand DC,Demand shortage AC,Demand shortage DC,PV generation,PV generation DC,Wind generation,Excess generation,Storage SOC,Genset generation,Grid availability
2019-01-01 00:00:00,1182.7044660647146,1182.7044660647146,0.0,-0.0,-0.0,0.0,0.0,1801.6491,855.48557,0,236.54089,0
2019-01-01 01:00:00,1161.5024374446925,1161.5024374446925,0.0,-0.0,-0.0,0.0,0.0,1887.5639,958.36199,0,232.30049,0
2019-01-01 02:00:00,1117.971702355275,1117.971702355275,0.0,-0.0,-0.0,0.0,0.0,1978.5325,1084.1552,0,223.59434,0
2019-01-01 03:00:00,1082.4301374705033,1082.4301374705033,0.0,-0.0,-0.0,0.0,0.0,2069.5012,1203.557,0,216.48603,0
2019-01-01 04:00:00,1059.3844541878707,1059.3844541878707,0.0,-0.0,-0.0,0.0,0.0,2160.4698,1312.9622,0,211.87689,0
2019-01-01 05:00:00,1056.7213974529886,1056.7213974529886,0.0,-0.0,-0.0,0.0,0.0,2246.3846,1401.0074,0,211.34428,0
2019-01-01 06:00:00,1068.602727500924,1068.602727500924,0.0,-0.0,-0.0,0.0,0.0,2337.3532,1482.471,0,213.72055,0
2019-01-01 07:00:00,1099.125454693033,1099.125454693033,0.0,-0.0,-0.0,0.0,0.0,2427.491,1548.1906,0,219.82509,0
2019-01-01 08:00:00,1130.6724344754816,1130.6724344754816,0.0,-0.0,-0.0,6.9815475,6.9815475,1660.1424,762.58603,0,226.13449,0
2019-01-01 09:00:00,1166.213999360253,1166.213999360253,0.0,-0.0,-0.0,125.66786,125.66786,1786.4877,979.18437,0,233.2428,0
2019-01-01 10:00:00,1230.537062033557,1230.537062033557,0.0,-0.0,-0.0,69.815475,69.815475,1912.833,998.21882,0,246.10741,0
2019-01-01 11:00:00,1283.4909209540951,1283.4909209540951,0.0,-0.0,-0.0,146.6125,146.6125,2034.1245,1153.9442,0,256.69818,0
2019-01-01 12:00:00,1319.2373363569345,1319.2373363569345,0.0,-0.0,-0.0,139.63095,139.63095,1897.6716,981.91265,0,263.84747,0
2019-01-01 13:00:00,1330.913815886802,1330.913815886802,0.0,-0.0,-0.0,129.15863,129.15863,1761.2187,825.64623,0,266.18276,0
2019-01-01 14:00:00,1334.8059757300914,1334.8059757300914,0.0,-0.0,-0.0,136.14018,136.14018,1624.7657,693.06115,0,266.9612,0
2019-01-01 15:00:00,1337.6738829830413,1337.6738829830413,0.0,-0.0,-0.0,48.870833,48.870833,1023.2583,1.9900736,0,267.53478,0
2019-01-01 16:00:00,1377.517308747237,1377.517308747237,0.0,-0.0,-0.0,0.0,0.0,577.89987,0.0,0,799.61744,0
2019-01-01 17:00:00,1464.1690778899365,1464.1690778899365,0.0,-0.0,-0.0,0.0,0.0,294.22875,0.0,0,1169.9403,0
2019-01-01 18:00:00,1465.1933304802758,1465.1933304802758,0.0,-0.0,-0.0,0.0,0.0,268.26739,0.0,0,1196.9259,0
2019-01-01 19:00:00,1440.2015672759987,1440.2015672759987,0.0,-0.0,-0.0,0.0,0.0,240.57527,0.0,0,1199.6263,0
2019-01-01 20:00:00,1403.3284740237857,1403.3284740237857,0.0,-0.0,-0.0,0.0,0.0,212.88315,0.0,0,1190.4453,0
2019-01-01 21:00:00,1345.2533521515513,1345.2533521515513,0.0,-0.0,-0.0,0.0,0.0,179.79107,0.0,0,1165.4623,0
2019-01-01 22:00:00,1281.7496915505187,1281.7496915505187,0.0,-0.0,-0.0,0.0,0.0,148.67205,0.0,0,1133.0776,0
2019-01-01 23:00:00,1205.5452988292795,1205.5452988292795,0.0,-0.0,-0.0,0.0,0.0,116.47997,0.0,0,1089.0653,0
2019-01-02 00:00:00,1139.4810067523988,1139.4810067523988,0.0,-0.0,-0.0,0.0,0.0,145.45285,0.0,0,994.02816,0
2019-01-02 01:00:00,1097.1793747713887,1097.1793747713887,0.0,-0.0,-0.0,0.0,0.0,174.42572,0.0,0,922.75365,0
2019-01-02 02:00:00,1074.6458177839252,1074.6458177839252,0.0,-0.0,-0.0,0.0,0.0,202.32553,0.0,0,872.32029,0
2019-01-02 03:00:00,1065.734820247974,1065.734820247974,0.0,-0.0,-0.0,0.0,0.0,429.47012,0.0,0,636.2647,0
2019-01-02 04:00:00,1077.2064492597733,1077.2064492597733,0.0,-0.0,-0.0,0.0,0.0,765.54858,0.0,0,311.65787,0
2019-01-02 05:00:00,1125.1414704876495,1125.1414704876495,0.0,-0.0,-0.0,0.0,0.0,1241.5761,341.4629,0,225.02829,0
2019-01-02 06:00:00,1243.1353688947295,1243.1353688947295,0.0,-0.0,-0.0,0.0,0.0,1039.7352,45.226862,0,248.62707,0
2019-01-02 07:00:00,1407.6303349032107,1407.6303349032107,0.0,-0.0,-0.0,0.0,0.0,858.5941,0.0,0,549.03624,0
2019-01-02 08:00:00,1547.850514520652,1547.850514520652,0.0,-0.0,-0.0,13.963095,13.963095,699.0875,0.0,0,834.79992,0
2019-01-02 09:00:00,1612.3784277120235,1612.3784277120235,0.0,-0.0,-0.0,223.40952,223.40952,765.54858,0.0,0,623.42033,0
2019-01-02 10:00:00,1633.8877321091477,1633.8877321091477,0.0,-0.0,-0.0,279.2619,279.2619,835.33272,0.0,0,519.29311,0
2019-01-02 11:00:00,1629.6882964887568,1629.6882964887568,0.0,-0.0,-0.0,296.71577,296.71577,905.11685,0.0,0,427.85567,0
2019-01-02 12:00:00,1620.1627473986018,1620.1627473986018,0.0,-0.0,-0.0,377.00357,377.00357,725.67193,0.0,0,517.48725,0
