,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.0,0.7043168316831683,237.17335549426096,0.0,0.0,0.0,7.59,11.19,7.59
1,0.0,0.6540990099009901,232.92161178703728,0.0,0.0,0.0,7.32,10.84,7.32
2,0.0,0.6035049504950495,224.19218630119153,0.0,0.0,0.0,7.04,10.49,7.04
3,0.0,0.5514653465346535,217.0648671398068,0.0,0.0,0.0,6.76,10.13,6.76
4,0.0,0.5008712871287128,212.44340658847676,0.0,0.0,0.0,6.48,9.78,6.48
5,0.0,0.45027722772277223,211.9093711469897,0.0,0.0,0.0,6.2,9.43,6.2
6,0.0,0.3996831683168317,214.2919908090088,0.0,0.0,0.0,5.92,9.08,5.92
7,0.0,0.3551287128712872,220.41285856143708,0.0,0.0,0.0,5.64,8.72,5.64
8,0.002,0.3775148514851485,226.73912456059125,0.0,0.0,0.0,6.37,8.91,6.37
9,0.1,0.381049504950495,233.86644372197588,0.0,0.0,0.0,6.36,8.94,6.36
10,0.097,0.3845841584158417,246.76545361635502,0.0,0.0,0.0,6.36,8.97,6.36
11,0.177,0.3895643564356435,257.3845429720779,0.0,0.0,0.0,6.36,9.01,6.36
12,0.24,0.40401980198019793,264.55294178280775,0.0,0.0,0.0,6.45,9.11,6.45
13,0.215,0.419920792079208,266.8944817954817,0.0,0.0,0.0,6.53,9.22,6.53
14,0.136,0.4343762376237624,267.6749951330397,0.0,0.0,0.0,6.62,9.32,6.62
15,0.002,0.4994257425742573,268.2501102238719,0.0,0.0,0.0,6.62,9.77,6.62
16,0.0,0.5644752475247525,276.24010202150475,0.0,0.0,0.0,6.62,10.22,6.62
17,0.0,0.6280792079207921,293.616793694506,0.0,0.0,0.0,6.63,10.66,6.63
18,0.0,0.6454257425742573,293.8221919412318,0.0,0.0,0.0,6.8,10.78,6.8
19,0.0,0.6613267326732674,288.8104747211227,0.0,0.0,0.0,6.98,10.89,6.98
20,0.0,0.6786534653465347,281.4161378389945,0.0,0.0,0.0,7.16,11.01,7.16
21,0.0,0.6914851485148515,269.77005724964266,0.0,0.0,0.0,7.45,11.1,7.45
22,0.0,0.7057425742574256,257.03536595264416,0.0,0.0,0.0,7.73,11.2,7.73
23,0.0,0.7200000000000001,241.7537363962459,0.0,0.0,0.0,8.02,11.3,8.02
24,0.0,0.7841584158415842,228.50554948243294,0.0,0.0,0.0,8.03,11.75,8.03
25,0.0,0.8322772277227721,220.02260189265814,0.0,0.0,0.0,8.04,12.2,8.04
26,0.0,0.8603465346534652,215.50384046469085,0.0,0.0,0.0,8.05,12.65,8.05
27,0.0,0.8428811881188117,213.71687571817662,0.0,0.0,0.0,8.1,12.37,8.1
28,0.0,0.826039603960396,216.01733608150533,0.0,0.0,0.0,8.16,12.1,8.16
29,0.0,0.7941386138613862,225.629974028272,0.0,0.0,0.0,8.21,11.82,8.21
30,0.0,0.7556435643564358,249.29185205108212,0.0,0.0,0.0,8.21,11.55,8.21
31,0.0,0.7171485148514851,282.27881047524284,0.0,0.0,0.0,8.22,11.28,8.22
32,0.003,0.6786534653465347,310.3978304520024,0.0,0.0,0.0,8.23,11.01,8.23
33,0.11,0.6035049504950495,323.3379199957266,0.0,0.0,0.0,8.19,10.49,8.19
34,0.159,0.5297821782178218,327.65128317696815,0.0,0.0,0.0,8.16,9.98,8.16
35,0.195,0.45461386138613874,326.80915036539244,0.0,0.0,0.0,8.13,9.46,8.13
36,0.15,0.4285940594059405,324.8989466708426,0.0,0.0,0.0,8.15,9.28,8.15
