,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.001,0.018178217821782177,36.66775369070003,0.0,0.0,0.0,24.03,3.44,24.03
1,0.047,0.026831683168316824,36.01042061596418,0.0,0.0,0.0,24.35,3.9,24.35
2,0.082,0.03976237623762377,34.660823723390564,0.0,0.0,0.0,24.67,4.36,24.67
3,0.17,0.05388118811881189,33.55891755463045,0.0,0.0,0.0,24.99,4.82,24.99
4,0.22,0.07326732673267328,32.84442508209148,0.0,0.0,0.0,25.3,5.28,25.3
5,0.252,0.09603960396039604,32.76186150748698,0.0,0.0,0.0,25.62,5.74,25.62
6,0.254,0.12217821782178219,33.13022207110708,0.0,0.0,0.0,25.94,6.2,25.94
7,0.208,0.1526930693069307,34.07652765695868,0.0,0.0,0.0,26.26,6.66,26.26
8,0.16,0.08415841584158415,35.054588463812046,0.0,0.0,0.0,24.29,5.5,24.29
9,0.107,0.0782178217821782,36.15649463257214,0.0,0.0,0.0,23.9,5.38,23.9
10,0.078,0.07227722772277226,38.150722511480915,0.0,0.0,0.0,23.5,5.26,23.5
11,0.018,0.06633663366336631,39.79246743727046,0.0,0.0,0.0,23.1,5.14,23.1
12,0.0,0.06039603960396037,40.900724650230906,0.0,0.0,0.0,22.8,5.02,22.8
13,0.0,0.05602970297029702,41.26273416965066,0.0,0.0,0.0,22.5,4.89,22.5
14,0.0,0.05203960396039604,41.38340400945725,0.0,0.0,0.0,22.2,4.76,22.2
15,0.0,0.045594059405940586,41.4723186282621,0.0,0.0,0.0,22.24,4.55,22.24
16,0.0,0.03914851485148514,42.707596725229465,0.0,0.0,0.0,22.27,4.34,22.27
17,0.0,0.0323960396039604,45.394088421976,0.0,0.0,0.0,22.3,4.12,22.3
18,0.0,0.02833663366336633,45.42584364297774,0.0,0.0,0.0,22.31,3.98,22.31
19,0.0,0.025702970297029698,44.651016250535484,0.0,0.0,0.0,22.31,3.84,22.31
20,0.0,0.02306930693069307,43.507828294473114,0.0,0.0,0.0,22.32,3.7,22.32
21,0.0,0.020999999999999994,41.70730726367491,0.0,0.0,0.0,22.82,3.59,22.82
22,0.0,0.01893069306930693,39.73848356156752,0.0,0.0,0.0,23.32,3.48,23.32
23,0.0,0.016861386138613862,37.37589511903865,0.0,0.0,0.0,23.83,3.37,23.83
24,0.011,0.007425742574257425,35.32768336442693,0.0,0.0,0.0,24.63,2.75,24.63
25,0.058,0.0013861386138613874,34.016192737055405,0.0,0.0,0.0,25.44,2.14,25.44
26,0.134,0.0,33.317577875017285,0.0,0.0,0.0,26.24,1.53,26.24
27,0.205,0.0,33.04130745230223,0.0,0.0,0.0,26.02,1.41,26.02
28,0.225,0.0,33.39696592752162,0.0,0.0,0.0,25.79,1.29,25.79
29,0.258,0.0,34.88311027040268,0.0,0.0,0.0,25.56,1.17,25.56
30,0.24,0.0,38.54131172980222,0.0,0.0,0.0,25.19,1.15,25.19
31,0.191,0.0,43.641200222680396,0.0,0.0,0.0,24.81,1.14,24.81
32,0.206,0.0,47.988489977817515,0.0,0.0,0.0,24.43,1.12,24.43
33,0.142,0.0,49.989068900926625,0.0,0.0,0.0,24.22,0.86,24.22
34,0.064,0.0,50.65592854196301,0.0,0.0,0.0,24.01,0.61,24.01
35,0.02,0.0,50.52573213585591,0.0,0.0,0.0,23.8,0.36,23.8
36,0.0,0.0,50.230408580539795,0.0,0.0,0.0,23.58,0.51,23.58
37,0.0,0.0,50.4431685612514,0.0,0.0,0.0,23.36,0.67,23.36
38,0.0,0.0,50.39553572974881,0.0,0.0,0.0,23.14,0.83,23.14
39,0.0,0.0,50.59559362205972,0.0,0.0,0.0,23.03,0.73,23.03
40,0.0,0.0,51.846749329527974,0.0,0.0,0.0,22.91,0.63,22.91
41,0.0,0.0,55.08578187170463,0.0,0.0,0.0,22.79,0.52,22.79
42,0.0,0.0,52.98993728559032,0.0,0.0,0.0,22.83,0.58,22.83
43,0.0,0.0,51.205293865292965,0.0,0.0,0.0,22.88,0.63,22.88
44,0.0,0.0,49.014183616173455,0.0,0.0,0.0,22.92,0.69,22.92
45,0.0,0.0,46.33721848572744,0.0,0.0,0.0,23.1,0.96,23.1
46,0.0,0.0,43.39350949886688,0.0,0.0,0.0,23.28,1.22,23.28
47,0.0,0.0,40.72289541262121,0.0,0.0,0.0,23.47,1.49,23.47
48,0.016,0.0,38.20788190928404,0.0,0.0,0.0,24.0,1.5,24.0
49,0.072,0.0,36.42323848898669,0.0,0.0,0.0,24.54,1.52,24.54
50,0.093,0.0,35.4610552926342,0.0,0.0,0.0,25.07,1.53,25.07
51,0.132,0.0,35.04188637541134,0.0,0.0,0.0,24.99,1.66,24.99
52,0.169,0.0,35.29910366552537,0.0,0.0,0.0,24.91,1.79,24.91
53,0.199,0.0,36.58519011609552,0.0,0.0,0.0,24.83,1.92,24.83
54,0.228,0.0006930693069306914,40.18305665559176,0.0,0.0,0.0,24.42,2.07,24.42
55,0.256,0.002277227722772277,45.52110930598293,0.0,0.0,0.0,24.01,2.23,24.01
56,0.152,0.0038613861386138626,49.928733981023335,0.0,0.0,0.0,23.6,2.39,23.6
57,0.11,0.004356435643564356,51.84992485162813,0.0,0.0,0.0,23.24,2.44,23.24
58,0.054,0.0049504950495049506,52.43739644016017,0.0,0.0,0.0,22.88,2.5,22.88
59,0.017,0.0054455445544554434,52.79623043747975,0.0,0.0,0.0,22.52,2.55,22.52
60,0.0,0.0059405940594059415,53.01851698449187,0.0,0.0,0.0,22.21,2.6,22.21
61,0.0,0.006435643564356434,52.98041071928979,0.0,0.0,0.0,21.89,2.65,21.89
62,0.0,0.0069306930693069325,53.04709668339344,0.0,0.0,0.0,21.57,2.7,21.57
63,0.0,0.007128712871287131,52.91372475518615,0.0,0.0,0.0,21.58,2.72,21.58
64,0.0,0.007326732673267329,53.98387570294452,0.0,0.0,0.0,21.59,2.74,21.59
65,0.0,0.007524752475247523,56.16863490786369,0.0,0.0,0.0,21.6,2.76,21.6
66,0.0,0.007425742574257425,53.46626560061629,0.0,0.0,0.0,21.61,2.75,21.61
67,0.0,0.007326732673267329,51.60858517201497,0.0,0.0,0.0,21.61,2.74,21.61
68,0.0,0.007227722772277228,49.24282120738593,0.0,0.0,0.0,21.62,2.73,21.62
