timestep,Demand,Demand AC,Demand DC,Demand shortage AC,Demand shortage DC,PV generation,PV generation DC,Wind generation,Excess generation,Storage discharge,Storage discharge DC,Storage SOC,Storage charge,Storage charge DC,Genset generation,Grid availability
2019-01-01 00:00:00,36.66775369070003,36.66775369070003,0.0,-0.0,-0.0,0.0,0.0,5.5136213,0.0,-31.154132,-31.154132,0.712929679520764,0.0,0.0,-0.0,0
2019-01-01 01:00:00,36.01042061596418,36.01042061596418,0.0,-0.0,-0.0,0.0,0.0,5.588638,0.0,-30.421783,-30.421783,0.6716911750445107,0.0,0.0,-0.0,0
2019-01-01 02:00:00,34.660823723390564,34.660823723390564,0.0,-0.0,-0.0,0.0,0.0,5.678658,0.0,-28.982166,-28.982166,0.6324041540850697,0.0,0.0,-0.0,0
2019-01-01 03:00:00,33.55891755463045,33.55891755463045,0.0,-0.0,-0.0,0.0,0.0,5.7536746,0.0,-27.805243,-27.805243,0.5947125176450261,0.0,0.0,-0.0,0
2019-01-01 04:00:00,32.84442508209148,32.84442508209148,0.0,-0.0,-0.0,0.0,0.0,5.8436946,0.0,-27.00073,-27.00073,0.5581114524643275,0.0,0.0,-0.0,0
2019-01-01 05:00:00,32.76186150748698,32.76186150748698,0.0,-0.0,-0.0,0.0,0.0,5.9187113,0.0,-26.84315,-26.84315,0.521723978307704,0.0,0.0,-0.0,0
2019-01-01 06:00:00,33.13022207110708,33.13022207110708,0.0,-0.0,-0.0,0.0,0.0,5.9937279,0.0,-27.136494,-27.136494,0.4849388808706056,0.0,0.0,-0.0,0
2019-01-01 07:00:00,34.07652765695868,34.07652765695868,0.0,-0.0,-0.0,0.0,0.0,6.0837479,0.0,-27.99278,-27.99278,0.446993023249851,0.0,0.0,-0.0,0
2019-01-01 08:00:00,35.054588463812046,35.054588463812046,0.0,-0.0,-0.0,0.0,0.0,4.4933948,0.0,-30.561194,-30.561194,0.40556554252402816,0.0,0.0,-0.0,0
2019-01-01 09:00:00,36.15649463257214,36.15649463257214,0.0,-0.0,-0.0,0.0,0.0,4.2383382,0.0,-31.918156,-31.918156,0.36229860706279665,0.0,0.0,-0.0,0
2019-01-01 10:00:00,38.150722511480915,38.150722511480915,0.0,-0.0,-0.0,0.0,0.0,4.0038341,0.0,-34.146888,-34.146888,0.3160104973072002,0.0,0.0,-0.0,0
2019-01-01 11:00:00,39.79246743727046,39.79246743727046,0.0,-0.0,-0.0,0.0,0.0,3.7959455,0.0,-35.996522,-35.996522,0.26721511241963297,0.0,0.0,-0.0,0
2019-01-01 12:00:00,40.900724650230906,40.900724650230906,0.0,-0.0,-0.0,3.9903232,3.9903232,3.6858868,0.0,-33.224515,-33.224515,0.2221773332771436,0.0,0.0,-0.0,0
