,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.0,0.5312277227722773,36.66775369070003,0.0,0.0,0.0,25.74,9.99,25.74
1,0.0,0.5384554455445543,36.01042061596418,0.0,0.0,0.0,25.66,10.04,25.66
2,0.0,0.547128712871287,34.660823723390564,0.0,0.0,0.0,25.58,10.1,25.58
3,0.0,0.5543564356435643,33.55891755463045,0.0,0.0,0.0,25.5,10.15,25.5
4,0.0,0.5630297029702971,32.84442508209148,0.0,0.0,0.0,25.42,10.21,25.42
5,0.0,0.5702574257425742,32.76186150748698,0.0,0.0,0.0,25.35,10.26,25.35
6,0.0,0.5774851485148514,33.13022207110708,0.0,0.0,0.0,25.27,10.31,25.27
7,0.0,0.586158415841584,34.07652765695868,0.0,0.0,0.0,25.19,10.37,25.19
8,0.0,0.432930693069307,35.054588463812046,0.0,0.0,0.0,25.12,9.31,25.12
9,0.0,0.40835643564356444,36.15649463257214,0.0,0.0,0.0,25.34,9.14,25.34
10,0.0,0.3857623762376238,38.150722511480915,0.0,0.0,0.0,25.55,8.98,25.55
11,0.0,0.36573267326732684,39.79246743727046,0.0,0.0,0.0,25.77,8.81,25.77
12,0.014,0.3551287128712872,40.900724650230906,0.0,0.0,0.0,25.87,8.72,25.87
13,0.188,0.3445247524752476,41.26273416965066,0.0,0.0,0.0,25.98,8.63,25.98
14,0.351,0.33392079207920783,41.38340400945725,0.0,0.0,0.0,26.08,8.54,26.08
15,0.497,0.3174257425742575,41.4723186282621,0.0,0.0,0.0,26.02,8.4,26.02
16,0.609,0.3009306930693069,42.707596725229465,0.0,0.0,0.0,25.96,8.26,25.96
17,0.607,0.28443564356435636,45.394088421976,0.0,0.0,0.0,25.9,8.12,25.9
18,0.607,0.24938613861386144,45.42584364297774,0.0,0.0,0.0,25.83,7.78,25.83
19,0.547,0.21706930693069312,44.651016250535484,0.0,0.0,0.0,25.76,7.44,25.76
20,0.402,0.18475247524752472,43.507828294473114,0.0,0.0,0.0,25.68,7.1,25.68
21,0.179,0.14738613861386138,41.70730726367491,0.0,0.0,0.0,25.71,6.58,25.71
22,0.014,0.11289108910891085,39.73848356156752,0.0,0.0,0.0,25.74,6.06,25.74
23,0.0,0.08564356435643565,37.37589511903865,0.0,0.0,0.0,25.77,5.53,25.77
24,0.0,0.07475247524752474,35.32768336442693,0.0,0.0,0.0,25.84,5.31,25.84
25,0.0,0.06435643564356433,34.016192737055405,0.0,0.0,0.0,25.91,5.1,25.91
26,0.0,0.05572277227722772,33.317577875017285,0.0,0.0,0.0,25.97,4.88,25.97
27,0.0,0.033009900990099,33.04130745230223,0.0,0.0,0.0,25.89,4.14,25.89
28,0.0,0.01723762376237624,33.39696592752162,0.0,0.0,0.0,25.81,3.39,25.81
29,0.0,0.006435643564356434,34.88311027040268,0.0,0.0,0.0,25.73,2.65,25.73
30,0.0,0.0049504950495049506,38.54131172980222,0.0,0.0,0.0,25.69,2.5,25.69
31,0.0,0.0034653465346534663,43.641200222680396,0.0,0.0,0.0,25.66,2.35,25.66
32,0.0,0.002079207920792079,47.988489977817515,0.0,0.0,0.0,25.62,2.21,25.62
33,0.0,0.0024752475247524753,49.989068900926625,0.0,0.0,0.0,25.77,2.25,25.77
34,0.0,0.0028712871287128717,50.65592854196301,0.0,0.0,0.0,25.93,2.29,25.93
35,0.0,0.003267326732673268,50.52573213585591,0.0,0.0,0.0,26.08,2.33,26.08
36,0.006,0.00792079207920792,50.230408580539795,0.0,0.0,0.0,26.1,2.8,26.1
37,0.131,0.01498019801980198,50.4431685612514,0.0,0.0,0.0,26.13,3.27,26.13
38,0.367,0.023821782178217822,50.39553572974881,0.0,0.0,0.0,26.15,3.74,26.15
39,0.485,0.03024752475247524,50.59559362205972,0.0,0.0,0.0,26.18,4.05,26.18
40,0.657,0.03976237623762377,51.846749329527974,0.0,0.0,0.0,26.21,4.36,26.21
41,0.704,0.04958415841584157,55.08578187170463,0.0,0.0,0.0,26.24,4.68,26.24
42,0.657,0.03730693069306931,52.98993728559032,0.0,0.0,0.0,26.25,4.28,26.25
43,0.55,0.026455445544554448,51.205293865292965,0.0,0.0,0.0,26.26,3.88,26.26
44,0.431,0.01893069306930693,49.014183616173455,0.0,0.0,0.0,26.26,3.48,26.26
45,0.194,0.005841584158415841,46.33721848572744,0.0,0.0,0.0,26.25,2.59,26.25
46,0.016,0.0,43.39350949886688,0.0,0.0,0.0,26.25,1.71,26.25
47,0.0,0.0,40.72289541262121,0.0,0.0,0.0,26.24,0.83,26.24
48,0.0,0.0,38.20788190928404,0.0,0.0,0.0,26.31,0.87,26.31
49,0.0,0.0,36.42323848898669,0.0,0.0,0.0,26.39,0.92,26.39
50,0.0,0.0,35.4610552926342,0.0,0.0,0.0,26.46,0.97,26.46
51,0.0,0.0,35.04188637541134,0.0,0.0,0.0,26.33,0.92,26.33
52,0.0,0.0,35.29910366552537,0.0,0.0,0.0,26.19,0.88,26.19
53,0.0,0.0,36.58519011609552,0.0,0.0,0.0,26.05,0.84,26.05
54,0.0,0.0,40.18305665559176,0.0,0.0,0.0,26.01,0.82,26.01
55,0.0,0.0,45.52110930598293,0.0,0.0,0.0,25.96,0.8,25.96
56,0.0,0.0,49.928733981023335,0.0,0.0,0.0,25.92,0.77,25.92
57,0.0,0.0,51.84992485162813,0.0,0.0,0.0,26.08,1.31,26.08
58,0.0,0.0,52.43739644016017,0.0,0.0,0.0,26.24,1.86,26.24
59,0.0,0.00396039603960396,52.79623043747975,0.0,0.0,0.0,26.4,2.4,26.4
60,0.004,0.00613861386138614,53.01851698449187,0.0,0.0,0.0,26.39,2.62,26.39
61,0.159,0.008316831683168316,52.98041071928979,0.0,0.0,0.0,26.37,2.84,26.37
62,0.367,0.01102970297029703,53.04709668339344,0.0,0.0,0.0,26.36,3.06,26.36
63,0.481,0.009009900990099013,52.91372475518615,0.0,0.0,0.0,26.39,2.91,26.39
64,0.547,0.007623762376237624,53.98387570294452,0.0,0.0,0.0,26.42,2.77,26.42
65,0.553,0.00613861386138614,56.16863490786369,0.0,0.0,0.0,26.45,2.62,26.45
66,0.608,0.007425742574257425,53.46626560061629,0.0,0.0,0.0,26.45,2.75,26.45
67,0.557,0.008811881188118813,51.60858517201497,0.0,0.0,0.0,26.45,2.89,26.45
68,0.39,0.010277227722772278,49.24282120738593,0.0,0.0,0.0,26.45,3.02,26.45
69,0.236,0.01554455445544554,46.51822324543731,0.0,0.0,0.0,26.47,3.3,26.47
70,0.018,0.020623762376237618,43.47289755137122,0.0,0.0,0.0,26.48,3.57,26.48
71,0.0,0.02589108910891089,40.73559750102191,0.0,0.0,0.0,26.5,3.85,26.5
72,0.0,0.02758415841584158,38.242812652385936,0.0,0.0,0.0,26.53,3.94,26.53
73,0.0,0.02932673267326731,36.60424324869657,0.0,0.0,0.0,26.56,4.02,26.56
74,0.0,0.0320891089108911,35.55314543353922,0.0,0.0,0.0,26.59,4.11,26.59
75,0.0,0.040990099009901,35.11492338371533,0.0,0.0,0.0,26.51,4.4,26.51
76,0.0,0.0498910891089109,35.22924217932156,0.0,0.0,0.0,26.42,4.69,26.42
77,0.0,0.05879207920792081,36.543908328793265,0.0,0.0,0.0,26.34,4.98,26.34
78,0.0,0.06633663366336631,40.16717904509089,0.0,0.0,0.0,26.26,5.14,26.26
79,0.0,0.07475247524752474,45.355982156773926,0.0,0.0,0.0,26.17,5.31,26.17
80,0.0,0.08316831683168319,49.98271785672629,0.0,0.0,0.0,26.09,5.48,26.09
81,0.0,0.08168316831683169,52.00234991243646,0.0,0.0,0.0,26.22,5.45,26.22
82,0.0,0.08069306930693068,52.580294934667975,0.0,0.0,0.0,26.35,5.43,26.35
83,0.0,0.0797029702970297,52.481853749562596,0.0,0.0,0.0,26.48,5.41,26.48
84,0.005,0.10693069306930693,52.15795049534494,0.0,0.0,0.0,26.5,5.96,26.5
85,0.189,0.14340594059405937,52.018227522937316,0.0,0.0,0.0,26.53,6.52,26.53
86,0.335,0.18285148514851485,51.970594691434705,0.0,0.0,0.0,26.55,7.08,26.55
87,0.507,0.14937623762376237,52.0785624428406,0.0,0.0,0.0,26.59,6.61,26.59
88,0.571,0.11886138613861388,53.08520294859551,0.0,0.0,0.0,26.62,6.15,26.62
89,0.642,0.09306930693069305,56.07654476695867,0.0,0.0,0.0,26.66,5.68,26.66
90,0.577,0.07326732673267328,53.815573031635346,0.0,0.0,0.0,26.63,5.28,26.63
91,0.519,0.05572277227722772,51.973770213534884,0.0,0.0,0.0,26.59,4.88,26.59
92,0.356,0.043445544554455456,49.56037341740325,0.0,0.0,0.0,26.55,4.48,26.55
93,0.129,0.0320891089108911,46.71828113774822,0.0,0.0,0.0,26.52,4.11,26.52
94,0.017,0.023821782178217822,43.63167365637987,0.0,0.0,0.0,26.5,3.74,26.5
95,0.0,0.016861386138613862,41.084904932040956,0.0,0.0,0.0,26.47,3.37,26.47
96,0.0,0.0225049504950495,38.687385746410186,0.0,0.0,0.0,26.53,3.67,26.53
97,0.0,0.02833663366336633,36.98213037861718,0.0,0.0,0.0,26.59,3.98,26.59
98,0.0,0.03761386138613861,36.03264927066538,0.0,0.0,0.0,26.64,4.29,26.64
99,0.0,0.0416039603960396,35.5563209556394,0.0,0.0,0.0,26.57,4.42,26.57
100,0.0,0.045594059405940586,35.851644510955516,0.0,0.0,0.0,26.49,4.55,26.49
101,0.0,0.04958415841584157,37.25840080133224,0.0,0.0,0.0,26.41,4.68,26.41
102,0.0,0.06534653465346535,40.98328822483542,0.0,0.0,0.0,26.37,5.12,26.37
103,0.0,0.08712871287128711,46.34039400782762,0.0,0.0,0.0,26.33,5.56,26.33
104,0.0,0.10891089108910891,50.86868852267461,0.0,0.0,0.0,26.29,6.0,26.29
105,0.0,0.10445544554455446,52.300848989852724,0.0,0.0,0.0,26.43,5.91,26.43
106,0.0,0.1004950495049505,52.34213077715498,0.0,0.0,0.0,26.56,5.83,26.56
107,0.0,0.09603960396039604,51.54507473001151,0.0,0.0,0.0,26.7,5.74,26.7
108,0.004,0.10346534653465345,50.47174826015296,0.0,0.0,0.0,26.77,5.89,26.77
109,0.153,0.11222772277227722,50.28121693414256,0.0,0.0,0.0,26.85,6.05,26.85
110,0.348,0.12284158415841584,50.15102052803547,0.0,0.0,0.0,26.93,6.21,26.93
111,0.537,0.10346534653465345,50.735316594467335,0.0,0.0,0.0,26.92,5.89,26.92
112,0.621,0.08762376237623763,52.14207288484407,0.0,0.0,0.0,26.91,5.57,26.91
113,0.646,0.07227722772277226,55.51765287732819,0.0,0.0,0.0,26.9,5.26,26.9
114,0.61,0.07029702970297028,54.13630076375285,0.0,0.0,0.0,26.86,5.22,26.86
115,0.52,0.06881188118811883,52.42469435175948,0.0,0.0,0.0,26.82,5.19,26.82
116,0.319,0.06732673267326733,50.16689813853633,0.0,0.0,0.0,26.78,5.16,26.78
117,0.137,0.05572277227722772,47.394667345085125,0.0,0.0,0.0,26.77,4.88,26.77
118,0.003,0.04743564356435644,44.15245928080828,0.0,0.0,0.0,26.76,4.61,26.76
119,0.0,0.03884158415841584,41.46596758406175,0.0,0.0,0.0,26.75,4.33,26.75
120,0.0,0.045900990099009886,38.96048064702508,0.0,0.0,0.0,26.75,4.56,26.75
121,0.0,0.05265346534653466,37.36636855273814,0.0,0.0,0.0,26.76,4.78,26.76
122,0.0,0.059900990099009885,36.48992445309033,0.0,0.0,0.0,26.76,5.01,26.76
123,0.0,0.06534653465346535,36.14696806627162,0.0,0.0,0.0,26.62,5.12,26.62
