,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.0,0.5326732673267326,1492.3098113956357,0.0,0.0,0.0,8.53,10.0,8.53
1,0.0,0.5225544554455445,1465.5575700378029,0.0,0.0,0.0,8.41,9.93,8.41
2,0.0,0.5124356435643562,1410.631470631624,0.0,0.0,0.0,8.29,9.86,8.29
3,0.0,0.5037623762376238,1365.7859259399909,0.0,0.0,0.0,8.18,9.8,8.18
4,0.0,0.49364356435643564,1336.7074027249553,0.0,0.0,0.0,8.06,9.73,8.06
5,0.0,0.4849702970297029,1333.3472178201066,0.0,0.0,0.0,7.94,9.67,7.94
6,0.0,0.4748514851485148,1348.3388120109696,0.0,0.0,0.0,7.83,9.6,7.83
7,0.0,0.4647326732673266,1386.8517005357724,0.0,0.0,0.0,7.71,9.53,7.71
8,0.0,0.8055445544554455,1426.6569678701328,0.0,0.0,0.0,8.1,11.9,8.1
9,0.0,0.7827326732673268,1471.5025125617658,0.0,0.0,0.0,8.11,11.74,8.11
10,0.0,0.7599207920792079,1552.6639018019544,0.0,0.0,0.0,8.12,11.58,8.12
11,0.051,0.7371089108910891,1619.4798862560585,0.0,0.0,0.0,8.13,11.42,8.13
12,0.097,0.8069702970297029,1664.5839067096028,0.0,0.0,0.0,8.03,11.91,8.03
13,0.19,0.8447524752475247,1679.3170251385545,0.0,0.0,0.0,7.94,12.4,7.94
14,0.106,0.8746930693069307,1684.2280646148722,0.0,0.0,0.0,7.84,12.88,7.84
15,0.04,0.8929504950495049,1687.846725281632,0.0,0.0,0.0,7.74,13.16,7.74
16,0.0,0.9118019801980197,1738.1202609734046,0.0,0.0,0.0,7.64,13.44,7.64
17,0.0,0.9306534653465348,1847.455508261939,0.0,0.0,0.0,7.55,13.72,7.55
18,0.0,0.9441188118811882,1848.7478870714963,0.0,0.0,0.0,7.42,13.92,7.42
19,0.0,0.9528316831683168,1817.2138441183024,0.0,0.0,0.0,7.3,14.12,7.3
20,0.0,0.9583762376237625,1770.6882069742444,0.0,0.0,0.0,7.18,14.32,7.18
21,0.0,0.9644752475247524,1697.4103284723549,0.0,0.0,0.0,7.09,14.54,7.09
22,0.0,0.9708514851485148,1617.2828422798116,0.0,0.0,0.0,7.0,14.77,7.0
23,0.0,0.9769504950495049,1521.12985884876,0.0,0.0,0.0,6.91,14.99,6.91
24,0.0,0.9747326732673267,1437.771425632324,0.0,0.0,0.0,6.88,14.91,6.88
25,0.0,0.9727920792079208,1384.396180797614,0.0,0.0,0.0,6.86,14.84,6.86
26,0.0,0.9705742574257427,1355.9638469873564,0.0,0.0,0.0,6.83,14.76,6.83
27,0.0,0.9725148514851485,1344.7201513442099,0.0,0.0,0.0,6.82,14.83,6.82
28,0.0,0.9744554455445544,1359.1947940112495,0.0,0.0,0.0,6.82,14.9,6.82
29,0.0,0.9763960396039604,1419.678122298524,0.0,0.0,0.0,6.81,14.97,6.81
30,0.0,0.9775445544554455,1568.560161159507,0.0,0.0,0.0,6.79,15.04,6.79
31,0.0,0.9781782178217822,1776.116197974385,0.0,0.0,0.0,6.77,15.12,6.77
32,0.0,0.9788118811881188,1953.042857002758,0.0,0.0,0.0,6.75,15.2,6.75
33,0.0,0.9781782178217822,2034.4627220048578,0.0,0.0,0.0,6.71,15.12,6.71
34,0.0,0.9775445544554455,2061.6026770055582,0.0,0.0,0.0,6.67,15.04,6.67
35,0.009,0.9763960396039604,2056.303923886374,0.0,0.0,0.0,6.63,14.97,6.63
36,0.055,0.9719603960396039,2044.284800957492,0.0,0.0,0.0,6.53,14.81,6.53
37,0.076,0.9675247524752476,2052.9437389815253,0.0,0.0,0.0,6.44,14.65,6.44
38,0.111,0.9633663366336634,2051.0051707671896,0.0,0.0,0.0,6.34,14.5,6.34
39,0.042,0.9617029702970298,2059.1471572673995,0.0,0.0,0.0,6.26,14.44,6.26
40,0.0,0.9600396039603961,2110.0668823639517,0.0,0.0,0.0,6.18,14.38,6.18
41,0.0,0.9583762376237625,2241.8895209387797,0.0,0.0,0.0,6.1,14.32,6.1
42,0.0,0.9644752475247524,2156.5925195080085,0.0,0.0,0.0,6.01,14.54,6.01
43,0.0,0.9708514851485148,2083.9608304108965,0.0,0.0,0.0,5.92,14.77,5.92
44,0.0,0.9769504950495049,1994.7866925514534,0.0,0.0,0.0,5.83,14.99,5.83
45,0.0,0.9733465346534653,1885.8391589057862,0.0,0.0,0.0,5.77,14.86,5.77
46,0.0,0.970019801980198,1766.035643259839,0.0,0.0,0.0,5.72,14.74,5.72
47,0.0,0.9664158415841585,1657.3465853760829,0.0,0.0,0.0,5.66,14.61,5.66
48,0.0,0.9614257425742574,1554.9901836591573,0.0,0.0,0.0,5.48,14.43,5.48
