,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.0,0.3763366336633664,36.66775369070003,0.0,0.0,0.0,25.84,8.9,25.84
1,0.0,0.36926732673267326,36.01042061596418,0.0,0.0,0.0,25.8,8.84,25.8
2,0.0,0.36219801980198013,34.660823723390564,0.0,0.0,0.0,25.76,8.78,25.76
3,0.0,0.3551287128712872,33.55891755463045,0.0,0.0,0.0,25.72,8.72,25.72
4,0.0,0.3480594059405941,32.84442508209148,0.0,0.0,0.0,25.68,8.66,25.68
5,0.0,0.34099009900990096,32.76186150748698,0.0,0.0,0.0,25.64,8.6,25.64
6,0.0,0.33392079207920783,33.13022207110708,0.0,0.0,0.0,25.6,8.54,25.6
7,0.0,0.3268514851485149,34.07652765695868,0.0,0.0,0.0,25.56,8.48,25.56
8,0.0,0.40691089108910905,35.054588463812046,0.0,0.0,0.0,25.78,9.13,25.78
9,0.0,0.42570297029702964,36.15649463257214,0.0,0.0,0.0,25.92,9.26,25.92
10,0.0,0.44594059405940595,38.150722511480915,0.0,0.0,0.0,26.05,9.4,26.05
11,0.0,0.4647326732673266,39.79246743727046,0.0,0.0,0.0,26.19,9.53,26.19
12,0.018,0.4285940594059405,40.900724650230906,0.0,0.0,0.0,26.15,9.28,26.15
13,0.244,0.39245544554455436,41.26273416965066,0.0,0.0,0.0,26.11,9.03,26.11
14,0.442,0.3633762376237623,41.38340400945725,0.0,0.0,0.0,26.08,8.79,26.08
15,0.586,0.3468811881188119,41.4723186282621,0.0,0.0,0.0,26.12,8.65,26.12
16,0.662,0.3315643564356435,42.707596725229465,0.0,0.0,0.0,26.16,8.52,26.16
17,0.637,0.3162475247524753,45.394088421976,0.0,0.0,0.0,26.2,8.39,26.2
18,0.581,0.3256732673267328,45.42584364297774,0.0,0.0,0.0,26.21,8.47,26.21
19,0.543,0.33627722772277235,44.651016250535484,0.0,0.0,0.0,26.22,8.56,26.22
20,0.349,0.3468811881188119,43.507828294473114,0.0,0.0,0.0,26.23,8.65,26.23
21,0.115,0.3763366336633664,41.70730726367491,0.0,0.0,0.0,26.21,8.9,26.21
22,0.002,0.40835643564356444,39.73848356156752,0.0,0.0,0.0,26.19,9.14,26.19
23,0.0,0.44449504950495056,37.37589511903865,0.0,0.0,0.0,26.17,9.39,26.17
24,0.0,0.44160396039603944,35.32768336442693,0.0,0.0,0.0,26.08,9.37,26.08
25,0.0,0.43726732673267327,34.016192737055405,0.0,0.0,0.0,25.99,9.34,25.99
26,0.0,0.432930693069307,33.317577875017285,0.0,0.0,0.0,25.89,9.31,25.89
27,0.0,0.44160396039603944,33.04130745230223,0.0,0.0,0.0,25.84,9.37,25.84
28,0.0,0.45172277227722757,33.39696592752162,0.0,0.0,0.0,25.79,9.44,25.79
29,0.0,0.46039603960396036,34.88311027040268,0.0,0.0,0.0,25.73,9.5,25.73
30,0.0,0.4705148514851485,38.54131172980222,0.0,0.0,0.0,25.71,9.57,25.71
31,0.0,0.4791881188118813,43.641200222680396,0.0,0.0,0.0,25.68,9.63,25.68
32,0.0,0.4893069306930692,47.988489977817515,0.0,0.0,0.0,25.66,9.7,25.66
