timestep,Demand,Demand AC,Demand DC,Demand shortage AC,Demand shortage DC,PV generation,PV generation DC,Wind generation,Excess generation,Consumption from main grid,Feed into main grid,Storage SOC,Genset generation,Grid availability
2019-01-01 00:00:00,36.66775369070003,36.66775369070003,0.0,-0.0,-0.0,0.0,0.0,121.55203,0.0,7.3335507,-92.217829,0,0.0,1
2019-01-01 01:00:00,36.01042061596418,36.01042061596418,0.0,-0.0,-0.0,0.0,0.0,125.38913,0.0,7.2020841,-96.580798,0,0.0,1
2019-01-01 02:00:00,34.660823723390564,34.660823723390564,0.0,-0.0,-0.0,0.0,0.0,129.21497,0.0,6.9321647,-101.48631,0,0.0,1
2019-01-01 03:00:00,33.55891755463045,33.55891755463045,0.0,-0.0,-0.0,0.0,0.0,132.99951,0.0,6.7117835,-106.15238,0,0.0,1
2019-01-01 04:00:00,32.84442508209148,32.84442508209148,0.0,-0.0,-0.0,0.0,0.0,136.78405,0.0,6.568885,-110.50851,0,0.0,1
2019-01-01 05:00:00,32.76186150748698,32.76186150748698,0.0,-0.0,-0.0,0.0,0.0,140.83891,0.0,6.5523723,-114.62942,0,0.0,1
2019-01-01 06:00:00,33.13022207110708,33.13022207110708,0.0,-0.0,-0.0,0.0,0.0,144.62345,0.0,6.6260444,-118.11928,0,0.0,1
2019-01-01 07:00:00,34.07652765695868,34.07652765695868,0.0,-0.0,-0.0,0.0,0.0,148.40799,0.0,6.8153055,-121.14677,0,0.0,1
2019-01-01 08:00:00,35.054588463812046,35.054588463812046,0.0,-0.0,-0.0,0.0,0.0,160.1671,0.0,7.0109177,-132.12342,0,0.0,1
2019-01-01 09:00:00,36.15649463257214,36.15649463257214,0.0,-0.0,-0.0,0.0,0.0,162.88723,0.0,7.2312989,-133.96204,0,0.0,1
2019-01-01 10:00:00,38.150722511480915,38.150722511480915,0.0,-0.0,-0.0,5.790932,5.790932,165.72564,0.0,7.6301445,-140.99599,0,0.0,1
2019-01-01 11:00:00,39.79246743727046,39.79246743727046,0.0,-0.0,-0.0,15.395405,15.395405,168.53964,0.0,7.9584935,-152.10107,0,0.0,1
2019-01-01 12:00:00,40.900724650230906,40.900724650230906,0.0,-0.0,-0.0,14.406709,14.406709,163.95163,0.0,8.1801449,-145.63776,0,0.0,1
2019-01-01 13:00:00,41.26273416965066,41.26273416965066,0.0,-0.0,-0.0,19.350188,19.350188,159.45749,0.0,8.2525468,-145.79749,0,0.0,1
2019-01-01 14:00:00,41.38340400945725,41.38340400945725,0.0,-0.0,-0.0,14.265467,14.265467,154.35512,0.0,8.2766808,-135.51387,0,0.0,1
2019-01-01 15:00:00,41.4723186282621,41.4723186282621,0.0,-0.0,-0.0,14.689193,14.689193,145.1641,0.0,8.2944637,-126.67544,0,0.0,1
