,per_unit_pv_generation,per_unit_wind_generation,residential_demand,commercial_demand,commercial_dummy,industrial_demand,temperature,wind_speed,GHI
0,0.0,0.6410891089108911,36.66775369070003,0.0,0.0,0.0,9.87,10.75,9.87
1,0.0,0.6613267326732674,36.01042061596418,0.0,0.0,0.0,9.88,10.89,9.88
2,0.0,0.6815049504950494,34.660823723390564,0.0,0.0,0.0,9.9,11.03,9.9
3,0.0,0.7014653465346534,33.55891755463045,0.0,0.0,0.0,9.92,11.17,9.92
4,0.0,0.7214257425742575,32.84442508209148,0.0,0.0,0.0,9.93,11.31,9.93
5,0.0,0.7428118811881189,32.76186150748698,0.0,0.0,0.0,9.95,11.46,9.95
6,0.0,0.7627722772277228,33.13022207110708,0.0,0.0,0.0,9.96,11.6,9.96
7,0.0,0.7827326732673268,34.07652765695868,0.0,0.0,0.0,9.98,11.74,9.98
8,0.0,0.8447524752475247,35.054588463812046,0.0,0.0,0.0,9.94,12.4,9.94
9,0.0,0.8590990099009901,36.15649463257214,0.0,0.0,0.0,9.85,12.63,9.85
10,0.041,0.874069306930693,38.150722511480915,0.0,0.0,0.0,9.77,12.87,9.77
11,0.109,0.8889108910891088,39.79246743727046,0.0,0.0,0.0,9.68,13.1,9.68
12,0.102,0.8647128712871286,40.900724650230906,0.0,0.0,0.0,9.71,12.72,9.71
13,0.137,0.841009900990099,41.26273416965066,0.0,0.0,0.0,9.73,12.34,9.73
14,0.101,0.8140990099009902,41.38340400945725,0.0,0.0,0.0,9.76,11.96,9.76
15,0.104,0.7656237623762375,41.4723186282621,0.0,0.0,0.0,9.84,11.62,9.84
16,0.058,0.7185742574257425,42.707596725229465,0.0,0.0,0.0,9.92,11.29,9.92
17,0.0,0.6699999999999999,45.394088421976,0.0,0.0,0.0,9.99,10.95,9.99
18,0.0,0.6150693069306931,45.42584364297774,0.0,0.0,0.0,9.92,10.57,9.92
19,0.0,0.5615841584158414,44.651016250535484,0.0,0.0,0.0,9.84,10.2,9.84
20,0.0,0.5066534653465345,43.507828294473114,0.0,0.0,0.0,9.76,9.82,9.76
21,0.0,0.45895049504950497,41.70730726367491,0.0,0.0,0.0,9.55,9.49,9.55
22,0.0,0.4112475247524752,39.73848356156752,0.0,0.0,0.0,9.34,9.16,9.34
23,0.0,0.36808910891089114,37.37589511903865,0.0,0.0,0.0,9.13,8.83,9.13
24,0.0,0.34334653465346526,35.32768336442693,0.0,0.0,0.0,9.12,8.62,9.12
25,0.0,0.3186039603960396,34.016192737055405,0.0,0.0,0.0,9.11,8.41,9.11
26,0.0,0.2950396039603962,33.317577875017285,0.0,0.0,0.0,9.1,8.21,9.1
27,0.0,0.2588910891089109,33.04130745230223,0.0,0.0,0.0,8.88,7.88,8.88
28,0.0,0.22752475247524753,33.39696592752162,0.0,0.0,0.0,8.65,7.55,8.65
29,0.0,0.19710891089108915,34.88311027040268,0.0,0.0,0.0,8.43,7.23,8.43
30,0.0,0.1546831683168317,38.54131172980222,0.0,0.0,0.0,8.21,6.69,8.21
31,0.0,0.11886138613861388,43.641200222680396,0.0,0.0,0.0,8.0,6.15,8.0
32,0.0,0.08960396039603961,47.988489977817515,0.0,0.0,0.0,7.79,5.61,7.79
33,0.0,0.05725742574257425,49.989068900926625,0.0,0.0,0.0,7.67,4.93,7.67
34,0.054,0.036079207920792083,50.65592854196301,0.0,0.0,0.0,7.54,4.24,7.54
35,0.165,0.020435643564356433,50.52573213585591,0.0,0.0,0.0,7.42,3.56,7.42
36,0.22,0.02194059405940594,50.230408580539795,0.0,0.0,0.0,7.76,3.64,7.76
37,0.273,0.023257425742574254,50.4431685612514,0.0,0.0,0.0,8.09,3.71,8.09
38,0.182,0.02476237623762376,50.39553572974881,0.0,0.0,0.0,8.43,3.79,8.43
39,0.152,0.02288118811881188,50.59559362205972,0.0,0.0,0.0,8.61,3.69,8.61
40,0.081,0.020999999999999994,51.846749329527974,0.0,0.0,0.0,8.79,3.59,8.79
41,0.0,0.01911881188118812,55.08578187170463,0.0,0.0,0.0,8.98,3.49,8.98
42,0.0,0.014227722772277226,52.98993728559032,0.0,0.0,0.0,9.09,3.23,9.09
43,0.0,0.009603960396039606,51.205293865292965,0.0,0.0,0.0,9.21,2.97,9.21
44,0.0,0.0069306930693069325,49.014183616173455,0.0,0.0,0.0,9.33,2.7,9.33
45,0.0,0.004158415841584158,46.33721848572744,0.0,0.0,0.0,9.39,2.42,9.39
46,0.0,0.0012871287128712859,43.39350949886688,0.0,0.0,0.0,9.45,2.13,9.45
47,0.0,0.0,40.72289541262121,0.0,0.0,0.0,9.51,1.85,9.51
48,0.0,0.0025742574257425718,38.20788190928404,0.0,0.0,0.0,9.64,2.26,9.64
49,0.0,0.006732673267326734,36.42323848898669,0.0,0.0,0.0,9.78,2.68,9.78
