timestep,Demand,Demand AC,Demand DC,Demand shortage AC,Demand shortage DC,PV generation,PV generation DC,Wind generation,Excess generation,Storage discharge,Storage discharge DC,Storage SOC,Storage charge,Storage charge DC,Genset generation,Grid availability
2019-01-01 00:00:00,36.66775369070003,36.66775369070003,0.0,-0.0,-0.0,0.0,0.0,10.99059,0.0,-0.0,-0.0,0.19999999999999998,0.0,0.0,25.677163,0
2019-01-01 01:00:00,36.01042061596418,36.01042061596418,0.0,-0.0,-0.0,0.0,0.0,17.081651,0.0,-1.188486e-14,-1.188486e-14,0.19999999999999998,0.0,0.0,18.928769,0
2019-01-01 02:00:00,34.660823723390564,34.660823723390564,0.0,-0.0,-0.0,0.0,0.0,25.10554,0.0,1.188486e-14,1.188486e-14,0.19999999999999998,0.0,0.0,9.5552837,0
2019-01-01 03:00:00,33.55891755463045,33.55891755463045,0.0,-0.0,-0.0,0.0,0.0,35.855095,0.0,-0.0,-0.0,0.21242152422310207,6.1259895,6.1259895,3.8298118,0
2019-01-01 04:00:00,32.84442508209148,32.84442508209148,0.0,-0.0,-0.0,0.0,0.0,48.781545,8.1001274,-0.0,-0.0,0.22831240262711597,7.8369928,7.8369928,-0.0,0
2019-01-01 05:00:00,32.76186150748698,32.76186150748698,0.0,-0.0,-0.0,0.0,0.0,63.630212,30.746851,-0.0,-0.0,0.22855877575175051,0.12149941,0.12149941,-0.0,0
2019-01-01 06:00:00,33.13022207110708,33.13022207110708,0.0,-0.0,-0.0,0.0,0.0,81.115104,47.984882,-0.0,-0.0,0.22855877575175051,0.0,0.0,-0.0,0
2019-01-01 07:00:00,34.07652765695868,34.07652765695868,0.0,-0.0,-0.0,0.0,0.0,98.599996,63.705372,-0.0,-0.0,0.23021760311517972,0.81809603,0.81809603,-0.0,0
2019-01-01 08:00:00,35.054588463812046,35.054588463812046,0.0,-0.0,-0.0,0.0,0.0,66.064817,31.010228,-0.0,-0.0,0.23021760311517972,0.0,0.0,-0.0,0
2019-01-01 09:00:00,36.15649463257214,36.15649463257214,0.0,-0.0,-0.0,13.108488,13.108488,70.048716,45.684466,-0.0,-0.0,0.23288652684340339,1.3162436,1.3162436,-0.0,0
2019-01-01 10:00:00,38.150722511480915,38.150722511480915,0.0,-0.0,-0.0,16.80102,16.80102,74.032616,52.682913,-0.0,-0.0,0.23288652684340339,0.0,0.0,-0.0,0
2019-01-01 11:00:00,39.79246743727046,39.79246743727046,0.0,-0.0,-0.0,38.033077,38.033077,78.237843,75.309359,-0.0,-0.0,0.23525706859461754,1.1690943,1.1690943,-0.0,0
